,Year,Europe Brent Spot Price FOB Dollars per Barrel
0,2021,70.86
1,2020,41.96
2,2019,64.3
3,2018,71.34
4,2017,54.13
5,2016,43.64
6,2015,52.32
7,2014,98.97
8,2013,108.56
9,2012,111.63
10,2011,111.26
11,2010,79.61
12,2009,61.74
13,2008,96.94
14,2007,72.44
15,2006,65.16
16,2005,54.57
17,2004,38.26
18,2003,28.85
19,2002,24.99
20,2001,24.46
21,2000,28.66
22,1999,17.9
23,1998,12.76
24,1997,19.11
25,1996,20.64
26,1995,17.02
27,1994,15.86
28,1993,17.01
29,1992,19.32
30,1991,20.04
31,1990,23.76
32,1989,18.23
33,1988,14.91
34,1987,18.53
